"STAROST";"SPOL";"LETO";Umrli
"62 let";"Ženske";"2014";95
"63 let";"Moški";"2010";152
"63 let";"Moški";"2011";168
"63 let";"Moški";"2012";163
"63 let";"Moški";"2013";192
"63 let";"Moški";"2014";200
"63 let";"Ženske";"2010";63
"63 let";"Ženske";"2011";77
"63 let";"Ženske";"2012";76
"63 let";"Ženske";"2013";79
"63 let";"Ženske";"2014";89
"64 let";"Moški";"2010";137
"64 let";"Moški";"2011";181
"64 let";"Moški";"2012";190
"64 let";"Moški";"2013";192
"64 let";"Moški";"2014";197
"64 let";"Ženske";"2010";65
"64 let";"Ženske";"2011";87
"64 let";"Ženske";"2012";75
"64 let";"Ženske";"2013";86
"64 let";"Ženske";"2014";91
"65 let";"Moški";"2010";151
"65 let";"Moški";"2011";132
"65 let";"Moški";"2012";163
"65 let";"Moški";"2013";204
"65 let";"Moški";"2014";171
"65 let";"Ženske";"2010";60
"65 let";"Ženske";"2011";72
"65 let";"Ženske";"2012";86
"65 let";"Ženske";"2013";82
"65 let";"Ženske";"2014";92
"66 let";"Moški";"2010";191
"66 let";"Moški";"2011";152
"66 let";"Moški";"2012";138
"66 let";"Moški";"2013";196
"66 let";"Moški";"2014";201
"66 let";"Ženske";"2010";100
"66 let";"Ženske";"2011";71
"66 let";"Ženske";"2012";73
"66 let";"Ženske";"2013";94
"66 let";"Ženske";"2014";66
"67 let";"Moški";"2010";178
"67 let";"Moški";"2011";214
"67 let";"Moški";"2012";156
"67 let";"Moški";"2013";145
"67 let";"Moški";"2014";203
"67 let";"Ženske";"2010";99
"67 let";"Ženske";"2011";92
"67 let";"Ženske";"2012";83
"67 let";"Ženske";"2013";74
"67 let";"Ženske";"2014";83
"68 let";"Moški";"2010";191
"68 let";"Moški";"2011";188
"68 let";"Moški";"2012";189
"68 let";"Moški";"2013";188
"68 let";"Moški";"2014";133
"68 let";"Ženske";"2010";113
"68 let";"Ženske";"2011";121
"68 let";"Ženske";"2012";103
"68 let";"Ženske";"2013";73
"68 let";"Ženske";"2014";86
"69 let";"Moški";"2010";182
"69 let";"Moški";"2011";206
"69 let";"Moški";"2012";232
"69 let";"Moški";"2013";221
"69 let";"Moški";"2014";168
"69 let";"Ženske";"2010";108
"69 let";"Ženske";"2011";125
"69 let";"Ženske";"2012";116
"69 let";"Ženske";"2013";101
"69 let";"Ženske";"2014";97
"70 let";"Moški";"2010";233
"70 let";"Moški";"2011";232
"70 let";"Moški";"2012";228
"70 let";"Moški";"2013";209
"70 let";"Moški";"2014";198
"70 let";"Ženske";"2010";137
"70 let";"Ženske";"2011";109
"70 let";"Ženske";"2012";123
"70 let";"Ženske";"2013";129
"70 let";"Ženske";"2014";115
"71 let";"Moški";"2010";232
"71 let";"Moški";"2011";273
"71 let";"Moški";"2012";234
"71 let";"Moški";"2013";232
"71 let";"Moški";"2014";252
"71 let";"Ženske";"2010";126
"71 let";"Ženske";"2011";135
"71 let";"Ženske";"2012";131
"71 let";"Ženske";"2013";123
"71 let";"Ženske";"2014";120
"72 let";"Moški";"2010";239
"72 let";"Moški";"2011";213
"72 let";"Moški";"2012";249
"72 let";"Moški";"2013";232
"72 let";"Moški";"2014";222
"72 let";"Ženske";"2010";134
"72 let";"Ženske";"2011";125
"72 let";"Ženske";"2012";154
"72 let";"Ženske";"2013";133
"72 let";"Ženske";"2014";141
"73 let";"Moški";"2010";274
"73 let";"Moški";"2011";255
"73 let";"Moški";"2012";253
"73 let";"Moški";"2013";249
"73 let";"Moški";"2014";270
"73 let";"Ženske";"2010";160
"73 let";"Ženske";"2011";151
"73 let";"Ženske";"2012";141
"73 let";"Ženske";"2013";157
"73 let";"Ženske";"2014";162
"74 let";"Moški";"2010";299
"74 let";"Moški";"2011";253
"74 let";"Moški";"2012";247
"74 let";"Moški";"2013";264
"74 let";"Moški";"2014";244
"74 let";"Ženske";"2010";183
"74 let";"Ženske";"2011";168
"74 let";"Ženske";"2012";167
"74 let";"Ženske";"2013";173
"74 let";"Ženske";"2014";179
"75 let";"Moški";"2010";297
"75 let";"Moški";"2011";274
"75 let";"Moški";"2012";287
